adoption;adoption;Plan in the process of being legally adopted.
elaboration;elaboration;Plan under elaboration.
legalForce;legalForce;Plan already adopted and being legally binding or active.
obsolete;obsolete;Plan having been substituted by another plan, or not being any longer in force.
